Suscetiveis,Infectados,Recuperados
2.4603543789054454e+18,238.18745110299753,3431447218.1239557
2.4603543788779525e+18,238.98365848966944,3459032135.7701077
2.460354378850368e+18,239.78221814692543,3486709227.929447
2.460354378822691e+18,240.58313483121327,3514478766.664076
2.4603543787949215e+18,241.38641329531015,3542341024.58469
2.460354378767059e+18,242.1920582847118,3570296274.8497396
2.460354378739104e+18,243.00007453747506,3598344791.164569
2.4603543787110554e+18,243.81046678759546,3626486847.780948
2.4603543786829133e+18,244.6232397578109,3654722719.4957743
2.4603543786546775e+18,245.43839816650177,3683052681.650568
2.4603543786263475e+18,246.25594672044554,3711477010.1301336
2.4603543785979233e+18,247.07589012176186,3739995981.362023
2.4603543785694044e+18,247.89823306421326,3768609872.3155694
2.4603543785407903e+18,248.72298022943338,3797318960.5004883
2.4603543785120814e+18,249.5501363011791,3826123523.967122
2.460354378483277e+18,250.37970594355565,3855023841.3041725
2.4603543784543764e+18,251.21169381524282,3884020191.638074
2.46035437842538e+18,252.04610456573096,3913112854.631932
2.4603543783962875e+18,252.88294284248676,3942302110.48529
2.4603543783670984e+18,253.7222132761847,3971588239.9321933
2.4603543783378125e+18,254.56392049518246,4000971524.2409186
2.4603543783084293e+18,255.4080691069485,4030452245.211564
2.4603543782789484e+18,256.25466371628806,4060030685.1757417
2.46035437824937e+18,257.1037089215622,4089707126.9958344
2.4603543782196936e+18,257.9552093033495,4119481854.0629425
2.4603543781899187e+18,258.80916943540717,4149355150.2960963
2.4603543781600456e+18,259.6655938845551,4179327300.141456
2.4603543781300736e+18,260.5244872030016,4209398588.570625
2.4603543781000023e+18,261.3858539318928,4239569301.079372
2.460354378069831e+18,262.2496986011313,4269839723.686335
2.4603543780395607e+18,263.11602573301013,4300210142.932141
2.4603543780091904e+18,263.9848398382639,4330680845.878075
2.4603543779787197e+18,264.85614541588455,4361252120.104719
2.460354377948148e+18,265.7299469452281,4391924253.709693
2.4603543779174764e+18,266.6062489089023,4422697535.3080225
2.4603543778867026e+18,267.4850557617967,4453572254.028945
2.460354377855828e+18,268.36637195788614,4484548699.515802
2.460354377824852e+18,269.2502019424224,4515627161.925033
2.4603543777937736e+18,270.13655013221745,4546807931.92289
2.460354377762593e+18,271.0254209387807,4578091300.684831
2.4603543777313096e+18,271.9168187682547,4609477559.894894
2.460354377699923e+18,272.81074799365234,4640967001.7418785
2.460354377668434e+18,273.70721300197647,4672559918.920958
2.460354377636841e+18,274.60621814270047,4704256604.629345
2.460354377605144e+18,275.50776776314444,4736057352.56605
