,Dia,Suscetiveis,Infectados,Recuperados
2,2.0049875311720697,2.4603543821940833e+18,140.72771628046155,131099639.67677554
3,3.0074812967581046,2.4603543821271117e+18,142.7565980114061,198071484.7576829
4,4.0099750623441395,2.4603543820591744e+18,144.81285192338498,266008554.19897825
5,5.012468827930174,2.460354381990259e+18,146.89679290749126,334923820.0610777
6,6.014962593516209,2.460354381920353e+18,149.00873762317886,404830395.05774105
7,7.017456359102244,2.460354381849442e+18,151.14900405809084,475741550.07074106
8,8.019950124688279,2.4603543817775124e+18,153.31791152805928,547670714.1498631
9,9.022443890274314,2.4603543817045514e+18,155.5157806771055,620631474.5129057
10,10.024937655860349,2.4603543816305454e+18,157.74293347743978,694637576.54568
11,11.027431421446384,2.46035438155548e+18,159.99969322946166,769702923.8020105
12,12.029925187032418,2.4603543814793416e+18,162.28638456175963,845841578.0037339
13,13.032418952618453,2.460354381402115e+18,164.60333343111142,923067759.0407002
14,14.034912718204488,2.4603543813237873e+18,166.95086712248383,1001395844.9707725
15,15.037406483790523,2.460354381244343e+18,169.3293142490328,1080840372.0198262
16,16.039900249376558,2.460354381163767e+18,171.73900475210326,1161416034.5817504
17,17.042394014962593,2.4603543810820454e+18,174.1802699012294,1243137685.218446
18,18.044887780548628,2.460354380999163e+18,176.65344229413444,1326020334.6598277
19,19.047381546134662,2.460354380915104e+18,179.1588558567307,1410079151.8038225
20,20.049875311720697,2.4603543808298537e+18,181.6968458431197,1495329463.7163706
21,21.052369077306732,2.4603543807433964e+18,184.26774883559193,1581786755.6314251
22,22.054862842892767,2.4603543806557164e+18,186.87190274462714,1669466670.950952
